AMI,ARI,NMI,accuracy,completeness,f1_score,homogenity,inertia,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
-0.00010557534641465058,-0.005370223810933262,0.0006783548998027989,0.269,0.0006518439774765402,0.3503255813953488,0.0007059440387374396,2284.1645617009012,k-means++,0.0004312360125131587,2,0.5021333333333334,0.269,0.17217549249350328,0.02948307991027832,0.0006778162196033787
0.008691762229084935,0.008632411048736187,0.01280618907078212,0.287,0.009607509422490402,0.36457120807743015,0.01706982229262375,2039.6787890695439,k-means++,0.010427345080984668,3,0.5956373696531176,0.287,0.14959537858603444,0.06037092208862305,0.012294968647385779
0.0188219516501178,0.022236186177775005,0.029897193829270915,0.202,0.019891931036105925,0.2736580310880829,0.044934913420048475,1871.2296754096585,k-means++,0.027449134524234975,4,0.45116981132075473,0.202,0.1373903225100918,0.053594112396240234,0.027576298256181346
0.0211851070749668,0.027049845285366705,0.036253386967390125,0.268,0.022414973337965785,0.391944795693486,0.05863527235971314,1734.8322411285603,k-means++,0.03581819472581475,5,0.7424833505993784,0.268,0.136757842162251,0.06291484832763672,0.03243193293971644
0.02157155797797668,0.02423371522507129,0.03905677889552836,0.24,0.022962100038799317,0.3568462526008234,0.06643259872209643,1655.4882739921263,k-means++,0.04058130305206624,6,0.7075330649798736,0.24,0.12764988947065398,0.06267404556274414,0.0341280187491714
0.018996185464334583,0.02137624647734136,0.03632025658418857,0.109,0.020546565700283865,0.16944797491950517,0.0642034808923356,1563.2901991190492,k-means++,0.03921961454479127,7,0.43031563031563036,0.109,0.1335235011662478,0.09087324142456055,0.031130626858113693
0.01992054695975267,0.014445206344920983,0.03941797513846384,0.071,0.02162092178209115,0.11413372400211344,0.07186450141564103,1494.850913286854,k-means++,0.043899458499788456,8,0.47095588235294117,0.071,0.1353880073958668,0.09236788749694824,0.033241048943644214
0.015359134716387116,0.01335020936678566,0.03239708477644185,0.113,0.017185905286157727,0.18150533676849465,0.06107162145582928,1443.0325087379233,k-means++,0.0373064734159758,9,0.5026162790697675,0.113,0.12231045992385743,0.09346413612365723,0.02682351834277534
0.018421411970045605,0.01360965147112697,0.03923760249271203,0.128,0.02038890053420866,0.20531434731617168,0.0755111560230011,1406.3382163474637,k-means++,0.04612706962134872,10,0.7445847684653655,0.128,0.12251348954184346,0.08876895904541016,0.032108207328483254
0.018435310676903415,0.0123238298913262,0.04039313991167575,0.106,0.020527475050592374,0.17759507760806384,0.07948399634650284,1360.3660919613696,k-means++,0.04855393595274016,11,0.6784558823529412,0.106,0.1255278666464422,0.10603690147399902,0.032628372108354
0.013546890637336299,0.007804198037148566,0.03156327472486796,0.085,0.015790264665231347,0.1422568897449471,0.06309205909329148,1315.6468630246131,k-means++,0.038540686643229585,12,0.4799181210945917,0.085,0.126625712284547,0.08121085166931152,0.025258898670561792
0.016410695111680217,0.011211717181787175,0.0380235582056471,0.08,0.01879631755677491,0.13725494238182606,0.07691884190885648,1273.9745768264715,k-means++,0.046986974677524294,13,0.48433018004272194,0.08,0.13456396959445524,0.09764575958251953,0.030210281980199292
0.019104993713908835,0.012072811368146124,0.04447815988160627,0.044,0.02159068543344025,0.07533995240142168,0.09162778609101835,1243.5850437563363,k-means++,0.055972143599324994,14,0.33876293198327095,0.044,0.12855833476521797,0.11423611640930176,0.034946712843166326
0.017505166477315447,0.012009013719272436,0.04198076667475399,0.138,0.02012134636016552,0.22802354920100926,0.08758781540032282,1228.048367287758,k-means++,0.05350426972303104,15,0.7286363636363636,0.138,0.12868250683978427,0.09387969970703125,0.0327248813711712
0.018250314556441508,0.01175303173079789,0.04424611935796371,0.082,0.020999598423662672,0.14513830296256525,0.09322650075218498,1190.4866030443,k-means++,0.05694874131500347,16,0.6330863016973464,0.082,0.12819873012394925,0.10175013542175293,0.03427796435953435
0.013186323985612309,0.007351353674341259,0.03431987630510142,0.059,0.016049066162117296,0.10495247106130715,0.07339080652416426,1169.5120414315245,k-means++,0.044831823804629314,17,0.4794803817603393,0.059,0.1212631676786925,0.11271119117736816,0.02633845228579184
0.014559715804170774,0.009105499932044956,0.03779477033428432,0.041,0.017562107885818624,0.07558299847990291,0.08133674351099761,1147.09046725799,k-means++,0.04968571305626343,18,0.508446455505279,0.041,0.12692210739877138,0.11832714080810547,0.02888698189000975
0.01621581743342663,0.008345541014066073,0.04204108424039206,0.064,0.019323619876219836,0.11128679100756597,0.09146592488516171,1121.4980529962945,k-means++,0.05587326836677961,19,0.6001837109614208,0.064,0.12847204453499836,0.10682439804077148,0.031906490236321125
0.019556471128669827,0.007922573571154423,0.049832929453303206,0.035,0.022802511780201217,0.06586133152779727,0.10890558381616941,1100.2231120182923,k-means++,0.06652653344774502,20,0.5602862254025045,0.035,0.12998125304037614,0.12735605239868164,0.03770946420041207
0.016555874204344997,0.005984112011396846,0.043930432686277,0.037,0.019925400838363493,0.06475268817204301,0.09685541242853207,1084.544361092121,k-means++,0.05916551391339409,21,0.35083333333333333,0.037,0.1352986081363733,0.11817812919616699,0.03305136969020558
0.021868194024788304,0.010672028553062839,0.05647185670547875,0.079,0.02529993494800613,0.1404412819556423,0.12605054543887093,1063.007724029128,k-means++,0.0769997784631545,22,0.7076704545454545,0.079,0.12645980293287779,0.11401200294494629,0.042141532575414746
0.02192547319072192,0.009250531642617448,0.05732938583539191,0.024,0.025459162937882973,0.043868766362928774,0.12909530797545277,1055.0180866144594,k-means++,0.07885971520498647,23,0.28621420996818664,0.024,0.12393205056127572,0.13949108123779297,0.042530746096710245
