AMI,ARI,NMI,accuracy,aic,bic,completeness,f1_score,homogenity,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
0.006250371045515943,-0.014607747170789134,0.007212851446274718,0.438,37894.793781141736,38086.19623702204,0.0070232239445678505,0.4525461254612546,0.007407598902818197,gmm-em,0.004525037733672632,2,0.4680916030534351,0.43799999999999994,0.034575806319254665,0.09793305397033691,0.007210292377118465
0.006200765331401352,-0.006025930351178577,0.009189280919176234,0.195,36829.49961123338,37119.05717269333,0.007204078830003218,0.2553889293130069,0.011721538007031868,gmm-em,0.007160269133675429,3,0.5942495687176538,0.195,0.05705671880503972,0.11733293533325195,0.008923659877367077
0.0052902363403148425,0.011211934336054961,0.00933826700950598,0.333,35872.52936404031,36260.2420310799,0.006466160493659442,0.4296380090497737,0.01348609129425988,gmm-em,0.008238171745916636,4,0.6064134808853119,0.333,0.0982846317023819,0.10967087745666504,0.008741191888288771
0.004650294087828148,0.011570686229325841,0.009140932848962733,0.174,35257.74956027123,35743.61733289046,0.006134479608879603,0.21975341037633817,0.013620821761033887,gmm-em,0.00832047377846807,5,0.5242198128375314,0.174,0.11178223913336624,0.11737585067749023,0.008459162610042413
0.008391339677699526,-0.0019301085491778302,0.016248684290632653,0.168,34839.38667930984,35423.40955750872,0.009912196132388532,0.26774491425011265,0.02663584715741816,gmm-em,0.01627088818345706,6,0.7126372407674392,0.168,0.050247466579005584,0.14382696151733398,0.01444781812712189
0.00810362637634787,-0.0023646685997472093,0.016502906091974724,0.131,34112.68323102732,34794.86121480583,0.009863584375471596,0.22237765220172728,0.027611251560618912,gmm-em,0.016866727913439558,7,0.7446153846153846,0.131,0.060641926660518666,0.1521458625793457,0.014534868675342271
0.008626673035831586,0.006422960470420288,0.018524434958997874,0.155,33714.57033584677,34494.90342520493,0.01045579118025593,0.25524240465416936,0.0328195814773094,gmm-em,0.020048310732870313,8,0.7443859649122807,0.155,0.086784344561198,0.16992783546447754,0.015859121226546057
0.008806129060777546,0.009251180060604021,0.019766465366569178,0.134,33449.96830500286,34328.456499940665,0.010743908865938552,0.21467922141803103,0.03636601519642986,gmm-em,0.022214700491484773,9,0.5517482517482517,0.134,0.06357526098349489,0.18021869659423828,0.0165872970871495
0.006914264542816829,0.009061601903328342,0.016827787090572685,0.08,33115.117642976984,34091.760943494424,0.009061831428333495,0.1292865328497336,0.031249137727308352,gmm-em,0.019088982707609455,10,0.5427230046948356,0.08,0.1032851532708277,0.20432782173156738,0.014049496913472851
0.007443459751615704,0.007882007782381252,0.01855318466270237,0.13,32903.4089157533,33978.20732185039,0.009683401705015306,0.20707120287142988,0.03554749370255422,gmm-em,0.021714694930411504,11,0.5090370955011839,0.13,0.07922887725543057,0.2279200553894043,0.015220599018728603
