AMI,ARI,NMI,accuracy,completeness,f1_score,homogenity,inertia,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
0.021809999727825487,0.00959349103704036,0.03117936993659453,0.0,0.04361180763997903,0.0,0.022291052865046578,25252.703857067492,k-means++,0.02876532102780996,2,0.0,0.0,0.1394797737150266,0.11836385726928711,0.029502607388912368
0.07753622419823969,0.055610789137027626,0.08512388173632245,0.0,0.09236316867552058,0.0,0.07845199927381734,22357.48247726193,k-means++,0.10123779069778605,3,0.0,0.0,0.15099500630617546,0.12045598030090332,0.08484112188454508
0.087432261336178,0.05694029621303591,0.09174299343345513,0.0006124948958758677,0.0887089723669098,1.7156719772433265e-05,0.09488078397885505,20455.48644774462,k-means++,0.1224381919977269,4,8.700211589145847e-06,0.0006124948958758677,0.15284417133192432,0.19247794151306152,0.09169113802056804
0.08457509338437058,0.05571193667683327,0.09557691216451004,0.005308289097590854,0.08605632218288989,0.0017307496748628986,0.10615078482541425,18911.80109607097,k-means++,0.13698147958031134,5,0.0010479932365968828,0.005308289097590854,0.15523011874147863,0.213975191116333,0.09505315678579773
0.07341630656625157,0.04184924226023158,0.08793773025041254,0.08738260514495713,0.07510008417057469,0.09433966368698986,0.1029698499941794,17789.55337086247,k-means++,0.13287666622120392,6,0.11476325204772629,0.08738260514495713,0.1532115912060543,0.2190561294555664,0.08685401539419389
0.061537056599309005,0.035512092207595235,0.07684173345785213,0.09473254389546754,0.06343774497063691,0.13526082222663566,0.093077898710628,16812.463005708705,k-means++,0.1201116723025455,7,0.271698176392649,0.09473254389546754,0.15120264188857538,0.23173093795776367,0.07545126943134292
0.07082669498491886,0.04065568417672137,0.08878645381862392,0.07656186198448346,0.07281742458358953,0.10568158483000421,0.10825752801292009,15903.387137417387,k-means++,0.13970011043541924,8,0.6613990403284629,0.07656186198448346,0.148398779273448,0.24792814254760742,0.08706929664924393
0.06721535177719173,0.03693750775496509,0.08711011168472313,0.2004899959167007,0.06938378961280676,0.26052027889693574,0.10936519322554161,15257.604902840414,k-means++,0.14112948865390426,9,0.4024799276425534,0.2004899959167007,0.1417772403544633,0.3332643508911133,0.08490310196156249
0.06531659989387453,0.036499421031526744,0.0875210318918684,0.1175990200081666,0.06763258429229398,0.16555380948038204,0.11325799691924847,14644.375221655524,k-means++,0.1461529278169466,10,0.30999592797070125,0.1175990200081666,0.13834736723979643,0.3424649238586426,0.08469131971508831
0.05934444051393045,0.032462904857281955,0.08195894289316862,0.10759493670886076,0.06182213916771545,0.15513427961655196,0.1086547377783644,14114.857543096321,k-means++,0.1402126867810751,11,0.308900737010239,0.10759493670886076,0.13856225491465304,0.3260951042175293,0.07880562385349514
