AMI,ARI,NMI,accuracy,aic,bic,completeness,f1_score,homogenity,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
0.012268853942492004,-0.005480179063016016,0.020790027887642698,0.0,90452.88890414497,90563.33080218268,0.03387573058830411,0.0,0.012759142077903721,gmm-em,0.016464938651948768,2,0.0,0.0,0.07100270022179445,0.19834423065185547,0.018536568660223088
0.06348380080447821,0.04172994999193692,0.07041595389978092,0.0,89322.41066737722,89491.32180555254,0.0769776048398154,0.0,0.0644136248969313,gmm-em,0.08312207637489218,3,0.0,0.0,0.09471006535985393,0.25244688987731934,0.07013739922692551
0.0714263320374667,0.05376976242167005,0.07328738546281763,0.0006124948958758677,87951.10106669419,88178.48144500711,0.07376626208152318,1.0879127813070475e-05,0.07281161762052926,gmm-em,0.09395920273882011,4,5.488305518600966e-06,0.0006124948958758677,0.11551582896937808,0.4403693675994873,0.07328583110757611
0.0724304403017224,0.04217981471416606,0.07950007834378703,0.0028583095140873828,87288.58619097467,87574.43580942521,0.0740265798779048,0.0008939555829812,0.08537828530093587,gmm-em,0.11017576425635724,5,0.0005337678461630411,0.0028583095140873828,0.06698061109377595,0.4651331901550293,0.07929823784960892
0.07211398122921613,0.05364934566008353,0.08428850644925807,0.09309922417313189,86773.4309821584,87117.74984074655,0.07387690244979409,0.10166986844301529,0.09616743642270051,gmm-em,0.12409854293864032,6,0.11677678708114365,0.0930992241731319,0.1444553754219652,0.577948808670044,0.08356117429788558
0.06030236939248061,0.035700050589108065,0.07483480853421481,0.1361780318497346,86063.24648370098,86466.03458242673,0.06223067874642098,0.19502150113831515,0.089991764209621,gmm-em,0.11612919331449971,7,0.35779936751068564,0.1361780318497346,0.1244112570266209,0.5015099048614502,0.07357980150101522
0.05971391319088721,0.03881411230196718,0.07452623071072025,0.08493262556145366,85491.28280077505,85952.54013963841,0.06176606931679376,0.12259171492914281,0.08992249507509725,gmm-em,0.1160398054823521,8,0.2771722619073519,0.08493262556145366,0.12654892219043787,0.5178980827331543,0.07323108483772317
0.0610397286179483,0.037409115197885444,0.078430980900925,0.07799101674152716,85095.98015457885,85615.70673357982,0.06327665204138665,0.11317770731944884,0.09721466870683791,gmm-em,0.12544993594040987,9,0.268338417784871,0.07799101674152716,0.10444194066626887,0.6955020427703857,0.07665733868227653
0.06467696391968547,0.034340128863049345,0.08666372534971836,0.11861984483462638,84804.9746216991,85383.17044083768,0.06699789382359446,0.1662384511626915,0.11210205071918888,gmm-em,0.14466124576240666,10,0.30537530060089607,0.11861984483462638,0.10134116417657253,0.6989350318908691,0.08387050382025425
0.05981923428067949,0.031193697578494602,0.08263033239502299,0.11453654552878725,84562.96411644199,85199.62917571818,0.06229572848366742,0.16181715718295675,0.10960256823229986,gmm-em,0.14143580744085069,11,0.30399823846573953,0.11453654552878725,0.10801509397709215,0.6653690338134766,0.07943966824748376
