AMI,ARI,NMI,accuracy,completeness,f1_score,homogenity,inertia,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
0.01360021275937502,0.05132520288375257,0.014546190119377992,0.527,0.014684104206880677,0.5221514508138712,0.014409571330196791,1807.2597021490083,k-means++,0.008802292733530864,2,0.517391304347826,0.527,0.1855984626554109,0.026784181594848633,0.014545542499051654
0.007553651160043386,0.022613429299621575,0.011220821614493266,0.422,0.008485189171318006,0.5001320422535211,0.014838424360634747,1576.1811415625584,k-means++,0.009064263740653472,3,0.6191982565050851,0.422,0.17387776344527736,0.043952226638793945,0.010796512086927706
0.0038170965241008195,0.007672990108243667,0.007346446062834538,0.317,0.004916149853512279,0.4179547658810094,0.010978157981815536,1423.7815622939697,k-means++,0.006706164813410104,4,0.6280233122875182,0.317,0.1645956581114176,0.06358098983764648,0.006791144391224003
0.004131757067695357,0.011388930472998274,0.008654136533185306,0.153,0.005412598951900945,0.2283290189957745,0.01383699028887209,1337.5963791044378,k-means++,0.008452523415352187,5,0.506446460516228,0.153,0.169237146913501,0.07146716117858887,0.007781369066969762
0.004421863011831984,0.009519499792478943,0.009879111446672813,0.108,0.005865170972956287,0.16843306438156344,0.016640067855786474,1283.6143063658326,k-means++,0.01016482343687107,6,0.5046290870737138,0.108,0.16071709380623642,0.0910501480102539,0.008673255477843242
0.0033226205487685047,0.009250376917016743,0.008634370674873668,0.093,0.004924667023141228,0.15222463768115943,0.015138557916869006,1239.1026135901434,k-means++,0.009247604616005767,7,0.4981052631578947,0.093,0.15975835641086605,0.10018181800842285,0.007431742122618133
0.007410126876339365,0.007614312847867704,0.016582223071066902,0.093,0.009155516052141882,0.15067214339059,0.030033273975233293,1186.7817519825044,k-means++,0.01834625494530428,8,0.5223214285714286,0.093,0.15195015154067448,0.1192789077758789,0.014033100883520217
0.013546926828221955,0.011265271623891869,0.02877093789337785,0.193,0.015414547373583056,0.2955922865013774,0.05370036804863989,1150.6275191543475,k-means++,0.032803637848123304,9,0.6407738095238095,0.193,0.1576520248425604,0.1122589111328125,0.02395334964118175
0.013066626839410664,0.012982190681750534,0.028915664225201358,0.114,0.015052069947217838,0.18716343605967659,0.05554821632616276,1099.3091446408885,k-means++,0.03393242239647565,10,0.5224937154348919,0.114,0.15772504451530783,0.11716890335083008,0.023685899355902245
0.00839960501588399,0.007449903575812766,0.020516559681417117,0.107,0.010577128516580563,0.17494930822333266,0.039796171569751425,1073.6628489757509,k-means++,0.024310060570412996,11,0.6909460654288241,0.107,0.16748324379248503,0.11026692390441895,0.016712394083363342
