AMI,ARI,NMI,accuracy,completeness,f1_score,homogenity,inertia,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
0.01360021275937502,0.05132520288375257,0.014546190119377992,0.527,0.014684104206880677,0.5221514508138712,0.014409571330196791,1346.9831186717443,k-means++,0.008802292733530864,2,0.517391304347826,0.527,0.22779174437114588,0.021041154861450195,0.014545542499051654
0.007975423069242642,0.023214874404500874,0.011778478285014634,0.452,0.008906478517699615,0.5300097487001733,0.015576588483861679,1117.1106239263474,k-means++,0.009515181852590454,3,0.6487795917063351,0.452,0.22747876018972202,0.028885841369628906,0.011332938859474936
0.004126182090759643,0.008050877378601658,0.0078082677015766455,0.294,0.005224672457854112,0.3795845834294946,0.011669448179058935,965.8434251324555,k-means++,0.007128449317266583,4,0.5977586206896551,0.294,0.22365530156016356,0.04226207733154297,0.007217782542202268
0.0048483169280188485,0.012009176497871069,0.009805138955003595,0.256,0.00612504926276882,0.35641899568279944,0.01569632272369165,890.6961509313824,k-means++,0.009588323225436263,5,0.5984451148758412,0.256,0.2307801683144397,0.04192090034484863,0.008811613677323459
0.005155601936389194,0.011676402886502827,0.011170259420944033,0.169,0.006571228622677614,0.26169145247866965,0.018988031416314707,834.1094091319043,k-means++,0.011599110558523473,6,0.605369834166886,0.169,0.2255319262853264,0.042236328125,0.009763560865286163
0.014639859105011156,0.015247394983754724,0.028686895883967424,0.218,0.016189556593401513,0.3250791724627815,0.050831410403975937,792.3309285735784,k-means++,0.031051094038890607,7,0.6719442960192359,0.218,0.1998814821212313,0.06324195861816406,0.02455762822669475
0.015121623709241253,0.01700794740762105,0.030780621308426213,0.124,0.016816377379339092,0.19242656884580114,0.05634071041345637,755.5461504998773,k-means++,0.03441652874399289,8,0.47784340044742735,0.124,0.20414441785397286,0.06491923332214355,0.025901704857804547
0.014942684144646029,0.015157307710213487,0.031597000378569266,0.11,0.016772940223264667,0.1758662486938349,0.059522684731120115,699.4997555310227,k-means++,0.03636028326470915,9,0.5011555555555555,0.11,0.21016211566034554,0.06360507011413574,0.026171105709408806
0.012347622311723436,0.011656015933803951,0.027617721824550818,0.109,0.014317864937166693,0.18071121065705611,0.053271808480210875,665.3146598117994,k-means++,0.03254184610646597,10,0.5476442354784995,0.109,0.21182104027407342,0.05724787712097168,0.022569677295767716
0.015681676085630893,0.014177965976488884,0.034916910873533054,0.062,0.017791394427616864,0.1048408572964945,0.06852698757876731,632.9549181361144,k-means++,0.04186069043922804,11,0.37622142536978936,0.062,0.21842511401383288,0.07033491134643555,0.028248691335759246
0.019920555444244984,0.018215060009767487,0.04419147619601297,0.113,0.022161000656510256,0.1966633744149096,0.08812267093223876,605.5963357518597,k-means++,0.053830993874235074,12,0.758131067961165,0.11299999999999999,0.22482242022264198,0.0730128288269043,0.0354156973602611
0.021334465938520182,0.021193475461514216,0.04794341151851785,0.08,0.023710056656134605,0.13529411764705881,0.09694496902179402,576.61244230612,k-means++,0.059220220839231466,13,0.4567049808429119,0.08,0.2310565010389694,0.0798799991607666,0.038101532781065525
0.016893991652533382,0.01564331379197708,0.03987359043535836,0.075,0.019396425988599354,0.1329755034505024,0.08196887484019993,554.3115411399389,k-means++,0.05007185951948365,14,0.5977576215671454,0.075,0.23338847029592444,0.08072209358215332,0.03136977251992702
0.01980882968215046,0.01637141756425167,0.04667671764937243,0.032,0.022433922266198874,0.058435307810877975,0.09711703306567576,539.9739007316523,k-means++,0.05932532862130603,15,0.4201999487310946,0.032,0.23353803772070403,0.08707284927368164,0.03644832388785348
0.01879052162295805,0.01649595831028714,0.04536181871859284,0.059,0.021540926663084364,0.10556952928494433,0.0955248875613528,516.1120167894252,k-means++,0.05835274376903794,16,0.5792574656981436,0.059,0.23188802630861832,0.09517478942871094,0.035154491703504376
0.01848491909737176,0.01325506622894301,0.045457757560812814,0.078,0.02136110537842134,0.13688768858260383,0.09673692844308929,502.7866342863691,k-means++,0.0590931362763219,17,0.636357276119403,0.078,0.22942828408096752,0.0787811279296875,0.03499478620585223
0.016188769686173842,0.009173966412534611,0.041456282416586145,0.037,0.019147205845363818,0.0681123467789008,0.08975844129340081,489.51847143730987,k-means++,0.05483022759422841,18,0.4379984051036682,0.037,0.21861287717469322,0.08595800399780273,0.031561693942535884
0.016404900980020076,0.011375618047655522,0.04245385075202861,0.099,0.019510582725079995,0.17261342088132908,0.09237701759459518,472.98593258766397,k-means++,0.056429822378834996,19,0.6849924012158055,0.099,0.2311020682189241,0.10186004638671875,0.03221678610544987
0.01726103965971595,0.010451011286238437,0.0448852171122517,0.04,0.02050263576329256,0.07334893949067178,0.09826457136896581,466.2497406993025,k-means++,0.06002631880602656,20,0.4428152492668622,0.04,0.2203695140935779,0.09800291061401367,0.03392658232622133
0.018529644570536782,0.00953965716310414,0.04834234072858539,0.06,0.02187414697614328,0.10872948500282967,0.10683762478452032,453.2506874806087,k-means++,0.06526329109719858,21,0.745715350223547,0.06,0.22482860880513889,0.10415410995483398,0.0363134136862665
