mean_fit_time,mean_test_score,n_clusters
0.15202617645263672,0.5754997541200426,2
0.2631559371948242,0.5911052842776617,3
0.35638976097106934,0.615386194661408,4
0.38474583625793457,0.6578141225683836,5
0.39369797706604004,0.6747334770232148,6
0.4105961322784424,0.7151876832670713,7
0.4157130718231201,0.66352144541376,8
0.448016881942749,0.6977420216384892,9
0.4253060817718506,0.7045466166438641,10
0.4224817752838135,0.7322845772718339,11
0.473980188369751,0.6991343951662664,12
0.4535868167877197,0.7337081812169446,13
0.4559769630432129,0.7201246969904366,14
0.4532020092010498,0.7165910829832248,15
0.45472121238708496,0.7148822538014751,16
0.4606499671936035,0.719026446272571,17
0.47951698303222656,0.7284751385569876,18
0.5014140605926514,0.7178848834021007,19
0.5035719871520996,0.7221682932327647,20
0.5213770866394043,0.7357462393426291,21
0.512005090713501,0.7184830255077658,22
0.5080912113189697,0.707195630779163,23
0.5263442993164062,0.7263846597442464,24
