mean_fit_time,mean_test_score,n_clusters
0.17840313911437988,0.5759854895505856,2
0.18532204627990723,0.583056376931296,3
0.43649888038635254,0.6041841410055909,4
0.43050122261047363,0.6492916455146737,5
0.42863917350769043,0.6718265985011809,6
0.4496300220489502,0.7131622936746375,7
0.4457430839538574,0.6633852144100381,8
0.4641561508178711,0.7117550834829589,9
0.4802381992340088,0.7245453879477813,10
0.4850330352783203,0.7157097175520158,11
0.4974400997161865,0.688386565419949,12
0.5213408470153809,0.7033289123066658,13
0.5227789878845215,0.7296050839505414,14
0.5094852447509766,0.7276277130686112,15
0.7546119689941406,0.7282498445938366,16
0.8487949371337891,0.7310761140152741,17
0.8384411334991455,0.7260888116002869,18
0.7455260753631592,0.7075506169160902,19
0.5827817916870117,0.7202350434032553,20
0.5535709857940674,0.720490215224164,21
0.6015422344207764,0.7178344974798652,22
0.5928668975830078,0.7305516796813037,23
0.560521125793457,0.7304607512289355,24
